元表記,出現頻度,正規化後,url,タイプ,チェック,正規化（変更案）,url（変更案）,タイプ
のち上杉の客分,1,のち上杉の客分,,,,,,
魁題百撰相　後藤又兵衛基次,1,魁題百撰相　後藤又兵衛基次,,,,,,
0380-9-(21),1,0380-9-(21),,,,,,
後藤基次,1,後藤基次,https://ja.wikipedia.org/wiki/後藤基次,Person,OK,,,
魁題百撰相　鬼小島弥太郎,1,魁題百撰相　鬼小島弥太郎,,,,,,
0380-9-(22),1,0380-9-(22),,,,,,
鬼小島弥太郎,1,小島弥太郎,https://ja.wikipedia.org/wiki/小島弥太郎,Person,OK,,,
上杉謙信の家来,1,上杉謙信の家来,,,,,,
魁題百撰相　滋野左衛門佐幸村,1,魁題百撰相　滋野左衛門佐幸村,,,,,,
0380-9-(23),1,0380-9-(23),,,,,,
真田幸村,1,真田信繁,https://ja.wikipedia.org/wiki/真田信繁,Person,OK,,,
魁題百撰相　秦桐若,1,魁題百撰相　秦桐若,,,,,,
0380-9-(24),1,0380-9-(24),,,,,,
秦桐若,1,秦桐若,,,,,,
山崎の戦いに秀吉方として勇戦せし士,1,山崎の戦いに秀吉方として勇戦せし士,,,,,,
魁題百撰相　小寺相模,1,魁題百撰相　小寺相模,,,,,,
0380-9-(25),1,0380-9-(25),,,,,,
小寺相模,1,小寺相模,,,,,,
大塔宮の味方,1,大塔宮の味方,,,,,,
竹林の天狗坊,1,竹林の天狗坊,,,,,,
魁題百撰相　森坊丸,1,魁題百撰相　森坊丸,,,,,,
0380-9-(26),1,0380-9-(26),,,,,,
明治元年1１月(18680010550),1,明治元年1１月(18680010550),,,,,,
森坊丸,1,森長隆,https://ja.wikipedia.org/wiki/森長隆,Person,OK,,,
蘭丸の弟,1,蘭丸の弟,,,,,,
魁題百撰相　相良遠江守,1,魁題百撰相　相良遠江守,,,,,,
0380-9-(27),1,0380-9-(27),,,,,,
相良遠江守,1,相良遠江守,,,,,,
大内義隆の臣,1,大内義隆の臣,,,,,,
陶の乱の時,1,陶の乱の時,,,,,,
主人を守って討死,1,主人を守って討死,,,,,,
魁題百撰相　辻弥兵衛盛昌,1,魁題百撰相　辻弥兵衛盛昌,,,,,,
0380-9-(28),1,0380-9-(28),,,,,,
辻弥兵衛,1,辻弥兵衛,,,,,,
かつしか畑守しるす,1,かつしか畑守しるす,,,,,,
辻は武田の臣,1,辻は武田の臣,,,,,,
のち山上道及と朝鮮にわたり武勇をかがやかす,1,のち山上道及と朝鮮にわたり武勇をかがやかす,,,,,,
魁題百撰相　菅和泉,1,魁題百撰相　菅和泉,,,,,,
0380-9-(29),1,0380-9-(29),,,,,,
菅和泉,1,菅和泉,,,,,,
菅は関原の戦いに東軍側で勇戦,1,菅は関原の戦いに東軍側で勇戦,,,,,,
魁題百撰相　駒木根八兵衛,1,魁題百撰相　駒木根八兵衛,,,,,,
0380-9-(30),1,0380-9-(30),,,,,,
駒木根八兵衛,1,駒木根八兵衛,,,,,,
土民をかたらひて孤城に倚り西国の諸藩を敵とし受て一度も不覚をとらす,1,土民をかたらひて孤城に倚り西国の諸藩を敵とし受て一度も不覚をとらす,,,,,,
魁題百撰相　森蘭丸,1,魁題百撰相　森蘭丸,,,,,,
0380-9-(31),1,0380-9-(31),,,,,,
森蘭丸,1,森成利,https://ja.wikipedia.org/wiki/森成利,Person,OK,,,
雲峰,1,雲峰,,,,,,
雲峰筆記,1,雲峰筆記,,,,,,
魁題百撰相　小幡助六郎信世,1,魁題百撰相　小幡助六郎信世,,,,,,
0380-9-(32),1,0380-9-(32),,,,,,
小幡助六郎信世,1,小幡助六郎信世,,,,,,
石田方の士,1,石田方の士,,,,,,
自刃,1,自殺,https://ja.wikipedia.org/wiki/自殺,Keyword,OK,,,
魁題百撰相　土屋惣蔵,1,魁題百撰相　土屋惣蔵,,,,,,
0380-9-(33),1,0380-9-(33),,,,,,
土屋惣蔵,1,土屋昌恒,https://ja.wikipedia.org/wiki/土屋昌恒,Person,OK,,,
魁題百撰相　平手監物,1,魁題百撰相　平手監物,,,,,,
0380-9-(34),1,0380-9-(34),,,,,,
平手監物,1,平手監物,,,,,,
織田信長の臣,1,織田信長の臣,,,,,,
魁題百撰相　冷泉判官隆豊,1,魁題百撰相　冷泉判官隆豊,,,,,,
0380-9-(35),1,0380-9-(35),,,,,,
冷泉隆豊,1,冷泉隆豊,https://ja.wikipedia.org/wiki/冷泉隆豊,Person,OK,,,
冷泉は大内義隆の氏,1,冷泉は大内義隆の氏,,,,,,
陶と討い自刃,1,陶と討い自刃,,,,,,
魁題百撰相　阪井久蔵,1,魁題百撰相　阪井久蔵,,,,,,
0380-9-(36),1,0380-9-(36),,,,,,
阪井久蔵,1,阪井久蔵,,,,,,
織田方の勇士,1,織田方の勇士,,,,,,
姉川の戦いの時戦死,1,姉川の戦いの時戦死,,,,,,
魁題百撰相　佐久間大学,1,魁題百撰相　佐久間大学,,,,,,
0380-9-(37),1,0380-9-(37),,,,,,
織田の臣,1,織田の臣,,,,,,
魁題百撰相　菅谷九右衛門,1,魁題百撰相　菅谷九右衛門,,,,,,
0380-9-(38),1,0380-9-(38),,,,,,
菅谷九右衛門,1,菅谷九右衛門,,,,,,
菅谷は織田方,1,菅谷は織田方,,,,,,
魁題百撰相　明石儀太夫,1,魁題百撰相　明石儀太夫,,,,,,
0380-9-(39),1,0380-9-(39),,,,,,
明石儀太夫,1,明石儀太夫,,,,,,
雲峰散人略記,1,雲峰散人略記,,,,,,
魁題百撰相　根来小密茶,1,魁題百撰相　根来小密茶,,,,,,
0380-9-(40),1,0380-9-(40),,,,,,
根来小密茶,1,根来小密茶,,,,,,
根来寺の炮術名手,1,根来寺の炮術名手,,,,,,
秀吉を狙いし人物,1,秀吉を狙いし人物,,,,,,
魁題百撰相　鈴木飛弾守重幸,1,魁題百撰相　鈴木飛弾守重幸,,,,,,
0380-9-(41),1,0380-9-(41),,,,,,
鈴木重幸,1,鈴木重幸,https://ja.wikipedia.org/wiki/鈴木重幸,Keyword,OK,,,
信長の石山攻の時の防禦の勇士,1,信長の石山攻の時の防禦の勇士,,,,,,
魁題百撰相　森力丸,1,魁題百撰相　森力丸,,,,,,
0380-9-(42),1,0380-9-(42),,,,,,
森力丸,1,森長氏,https://ja.wikipedia.org/wiki/森長氏,Person,OK,,,
魁題百撰相　鷺池平九郎,1,魁題百撰相　鷺池平九郎,,,,,,
0380-9-(43),1,0380-9-(43),,,,,,
鷺池平九郎,1,鷺池平九郎,,,,,,
楠正行に従いし勇士,1,楠正行に従いし勇士,,,,,,
魁題百撰相　滋野大助,1,魁題百撰相　滋野大助,,,,,,
0380-9-(44),1,0380-9-(44),,,,,,
真田大助,1,真田幸昌,https://ja.wikipedia.org/wiki/真田幸昌,Person,OK,,,
魁題百撰相　斎藤内蔵介,1,魁題百撰相　斎藤内蔵介,,,,,,
0380-9-(45),1,0380-9-(45),,,,,,
斎藤内蔵介,1,斎藤内蔵介,,,,,,
明智方の勇士,1,明智方の勇士,,,,,,
梟首せらる,1,梟首せらる,,,,,,
魁題百撰相　昌木大膳時善,1,魁題百撰相　昌木大膳時善,,,,,,
0380-9-(46),1,0380-9-(46),,,,,,
清流子花川,1,清流子花川,,,,,,
昌木大膳,1,昌木大膳,,,,,,
林昌之助,1,林昌之助,,,,,,
昌木大膳は林昌之助のこと,1,昌木大膳は林昌之助のこと,,,,,,
清流子花川述,1,清流子花川述,,,,,,
魁題百撰相　天野屋利兵衛,1,魁題百撰相　天野屋利兵衛,,,,,,
0380-9-(47),1,0380-9-(47),,,,,,
天野屋利兵衛,1,天野屋利兵衛,https://ja.wikipedia.org/wiki/天野屋利兵衛,Keyword,OK,,,
述者の名なし,1,述者の名なし,,,,,,
魁題百撰相　堀井恒右衛門,1,魁題百撰相　堀井恒右衛門,,,,,,
0380-9-(48),1,0380-9-(48),,,,,,
鳥居強右衛門,1,鳥居強右衛門,https://ja.wikipedia.org/wiki/鳥居強右衛門,Person,OK,,,
末広五十三次　日本橋,1,末広五十三次　日本橋,,,,,,
0380-8-(1),1,0380-8-(1),,,,,,
浮世絵事典,1,浮世絵事典,,,,,,
末広５３次,1,末広５３次,,,,,,
に慶応元年閏５月とあり,1,に慶応元年閏５月とあり,,,,,,
末広五十三次　品川,1,末広五十三次　品川,,,,,,
0380-8-(2),1,0380-8-(2),,,,,,
末広五十三次　川崎,1,末広五十三次　川崎,,,,,,
0380-8-(3),1,0380-8-(3),,,,,,
末広五十三次　神奈川,1,末広五十三次　神奈川,,,,,,
0380-8-(4),1,0380-8-(4),,,,,,
梅蝶楼国貞画,1,梅蝶楼国貞画,,,,,,
末広五十三次　程ヶ谷,1,末広五十三次　程ヶ谷,,,,,,
0380-8-(5),1,0380-8-(5),,,,,,
朝霞楼芳幾画,1,朝霞楼芳幾画,,,,,,
末広五十三次　六　戸塚,1,末広五十三次　六　戸塚,,,,,,
0380-8-(6),1,0380-8-(6),,,,,,
やきもち坂,1,やきもち坂,,,,,,
花菱あり,1,花菱あり,,,,,,
末広五十三次　藤沢,1,末広五十三次　藤沢,,,,,,
0380-8-(7),1,0380-8-(7),,,,,,
南湖の松原,1,南湖の松原,,,,,,
末広五十三次　平塚,1,末広五十三次　平塚,,,,,,
0380-8-(8),1,0380-8-(8),,,,,,
末広五十三次　大磯,1,末広五十三次　大磯,,,,,,
0380-8-(9),1,0380-8-(9),,,,,,
末広五十三次　小田原,1,末広五十三次　小田原,,,,,,
0380-8-(10),1,0380-8-(10),,,,,,
末広五十三次　箱根,1,末広五十三次　箱根,,,,,,
0380-8-(11),1,0380-8-(11),,,,,,
五雲斎貞秀画,1,五雲斎貞秀画,,,,,,
末広五十三次　三島,1,末広五十三次　三島,,,,,,
0380-8-(12),1,0380-8-(12),,,,,,
末広五十三次　沼津,1,末広五十三次　沼津,,,,,,
0380-8-(13),1,0380-8-(13),,,,,,
末広五十三次　原,1,末広五十三次　原,,,,,,
0380-8-(14),1,0380-8-(14),,,,,,
末広五十三次　吉原,1,末広五十三次　吉原,,,,,,
0380-8-(15),1,0380-8-(15),,,,,,
末広五十三次　蒲原,1,末広五十三次　蒲原,,,,,,
0380-8-(16),1,0380-8-(16),,,,,,
末広五十三次　由井,1,末広五十三次　由井,,,,,,
0380-8-(17),1,0380-8-(17),,,,,,
末広五十三次　興津,1,末広五十三次　興津,,,,,,
0380-8-(18),1,0380-8-(18),,,,,,
末広五十三次　十九　江尻,1,末広五十三次　十九　江尻,,,,,,
0380-8-(19),1,0380-8-(19),,,,,,
末広五十三次　府中,1,末広五十三次　府中,,,,,,
0380-8-(20),1,0380-8-(20),,,,,,
府中,1,府中,https://ja.wikipedia.org/wiki/府中,Keyword,OK,,,
賤機山,1,賤機山,https://ja.wikipedia.org/wiki/賤機山,Place,OK,,,
仙元山,1,仙元山,https://ja.wikipedia.org/wiki/仙元山,Place,OK,,,
末広五十三次　鞠子,1,末広五十三次　鞠子,,,,,,
0380-8-(21),1,0380-8-(21),,,,,,
末広五十三次　岡部,1,末広五十三次　岡部,,,,,,
0380-8-(22),1,0380-8-(22),,,,,,
宇津之山,1,宇津之山,,,,,,
末広五十三次　藤枝,1,末広五十三次　藤枝,,,,,,
0380-8-(23),1,0380-8-(23),,,,,,
陣笠の模様２種類あり,1,陣笠の模様２種類あり,,,,,,
末広五十三次　島田大井川,1,末広五十三次　島田大井川,,,,,,
0380-8-(24),1,0380-8-(24),,,,,,
末広五十三次　金谷,1,末広五十三次　金谷,,,,,,
0380-8-(25),1,0380-8-(25),,,,,,
末広五十三次　日坂,1,末広五十三次　日坂,,,,,,
0380-8-(26),1,0380-8-(26),,,,,,
末広五十三次　掛川,1,末広五十三次　掛川,,,,,,
0380-8-(27),1,0380-8-(27),,,,,,
末広五十三次　袋井,1,末広五十三次　袋井,,,,,,
0380-8-(28),1,0380-8-(28),,,,,,
末広五十三次　見附,1,末広五十三次　見附,,,,,,
0380-8-(29),1,0380-8-(29),,,,,,
末広五十三次　浜松,1,末広五十三次　浜松,,,,,,
0380-8-(30),1,0380-8-(30),,,,,,
丸に菱形の紋あり,1,丸に菱形の紋あり,,,,,,
末広五十三次　舞坂,1,末広五十三次　舞坂,,,,,,
0380-8-(31),1,0380-8-(31),,,,,,
末広五十三次　荒井,1,末広五十三次　荒井,,,,,,
0380-8-(32),1,0380-8-(32),,,,,,
一雄斎国輝,1,一雄斎国輝,,,,,,
末広五十三次　白須賀,1,末広五十三次　白須賀,,,,,,
0380-8-(33),1,0380-8-(33),,,,,,
末広五十三次　二川,1,末広五十三次　二川,,,,,,
0380-8-(34),1,0380-8-(34),,,,,,
末広五十三次　吉田,1,末広五十三次　吉田,,,,,,
0380-8-(35),1,0380-8-(35),,,,,,
吉田大橋,1,吉田大橋,https://ja.wikipedia.org/wiki/吉田大橋,Keyword,OK,,,
末広五十三次　御油,1,末広五十三次　御油,,,,,,
0380-8-(36),1,0380-8-(36),,,,,,
魁斎芳年筆印,1,魁斎芳年筆印,,,,,,
末広五十三次　赤坂,1,末広五十三次　赤坂,,,,,,
0380-8-(37),1,0380-8-(37),,,,,,
提灯の印と陣羽織の紋あり,1,提灯の印と陣羽織の紋あり,,,,,,
末広五十三次　藤川,1,末広五十三次　藤川,,,,,,
0380-8-(38),1,0380-8-(38),,,,,,
末広五十三次　三十九　岡崎,1,末広五十三次　三十九　岡崎,,,,,,
0380-8-(39),1,0380-8-(39),,,,,,
末広五十三次　四十　池鯉鮒,1,末広五十三次　四十　池鯉鮒,,,,,,
0380-8-(40),1,0380-8-(40),,,,,,
陣羽織の紋あり,1,陣羽織の紋あり,,,,,,
末広五十三次　鳴見,1,末広五十三次　鳴見,,,,,,
0380-8-(41),1,0380-8-(41),,,,,,
国周画印,1,国周画印,,,,,,
末広五十三次　宮,1,末広五十三次　宮,,,,,,
0380-8-(42),1,0380-8-(42),,,,,,
末広五十三次　桑名,1,末広五十三次　桑名,,,,,,
0380-8-(43),1,0380-8-(43),,,,,,
末広五十三次　四日市,1,末広五十三次　四日市,,,,,,
0380-8-(44),1,0380-8-(44),,,,,,
末広五十三次　石薬師,1,末広五十三次　石薬師,,,,,,
0380-8-(45),1,0380-8-(45),,,,,,
義経桜,1,義経桜,,,,,,
末広五十三次　庄野,1,末広五十三次　庄野,,,,,,
0380-8-(46),1,0380-8-(46),,,,,,
末広五十三次　四十七　亀山,1,末広五十三次　四十七　亀山,,,,,,
0380-8-(47),1,0380-8-(47),,,,,,
末広五十三次　関,1,末広五十三次　関,,,,,,
0380-8-(48),1,0380-8-(48),,,,,,
末広五十三次　坂ノ下,1,末広五十三次　坂ノ下,,,,,,
0380-8-(49),1,0380-8-(49),,,,,,
末広五十三次　土山,1,末広五十三次　土山,,,,,,
0380-8-(50),1,0380-8-(50),,,,,,
末広五十三駅　水口,1,末広五十三駅　水口,,,,,,
0380-8-(51),1,0380-8-(51),,,,,,
末広五十三次　石部,1,末広五十三次　石部,,,,,,
0380-8-(52),1,0380-8-(52),,,,,,
末広五十三次　草津,1,末広五十三次　草津,,,,,,
0380-8-(53),1,0380-8-(53),,,,,,
末広五十三次　大津,1,末広五十三次　大津,,,,,,
0380-8-(54),1,0380-8-(54),,,,,,
末広五十三次　京都,1,末広五十三次　京都,,,,,,
0380-8-(55),1,0380-8-(55),,,,,,
〔雷療治の図〕,1,〔雷療治の図〕,,,,,,
0380-13-(1),1,0380-13-(1),,,,,,
応需為直画印,1,応需為直画印,,,,,,
嘉永３年８月８日江戸大雷の諷刺,1,嘉永３年８月８日江戸大雷の諷刺,,,,,,
黒,1,黒,https://ja.wikipedia.org/wiki/黒,Keyword,OK,,,
青,1,青,https://ja.wikipedia.org/wiki/青,Keyword,OK,,,
赤の３色,1,赤の３色,,,,,,
落雷場所附けあり,1,落雷場所附けあり,,,,,,
それぞれの鬼のことばあり,1,それぞれの鬼のことばあり,,,,,,
地震鞠うた,1,地震鞠うた,,,,,,
0380-13-(2),1,0380-13-(2),,,,,,
かぞえうたあり,1,かぞえうたあり,,,,,,
名石千歳刎　男之助せりふ,1,名石千歳刎　男之助せりふ,,,,,,
0380-13-(3),1,0380-13-(3),,,,,,
めいせきせんざいはね,1,めいせきせんざいはね,,,,,,
せりふあり,1,せりふあり,,,,,,
夜無情浮世有様,1,夜無情浮世有様,,,,,,
0380-13-(4),1,0380-13-(4),,,,,,
お富,1,お富,,,,,,
与三郎,1,与三郎,,,,,,
よはなさけなくうきよのありさま,1,よはなさけなくうきよのありさま,,,,,,
与話情浮名横櫛は嘉永６年中村座初演,1,与話情浮名横櫛は嘉永６年中村座初演,,,,,,
なまず明烏花焼衣,1,なまず明烏花焼衣,,,,,,
0380-13-(5),1,0380-13-(5),,,,,,
明烏,1,明烏,https://ja.wikipedia.org/wiki/明烏,Keyword,OK,,,
風流葉唄尽,1,風流葉唄尽,,,,,,
0380-13-(6),1,0380-13-(6),,,,,,
風雷山人戯述,1,風雷山人戯述,,,,,,
雨風とあり,1,雨風とあり,,,,,,
なまず万歳楽,1,なまず万歳楽,,,,,,
0380-13-(7),1,0380-13-(7),,,,,,
万歳,1,万歳,https://ja.wikipedia.org/wiki/万歳,Keyword,OK,,,
万歳あり,1,万歳あり,,,,,,
はうたづくし,1,はうたづくし,,,,,,
0380-13-(8),1,0380-13-(8),,,,,,
どうが如来世直しちょぼくれ,1,どうが如来世直しちょぼくれ,,,,,,
0380-13-(9),1,0380-13-(9),,,,,,
ちょぼくれちょんがれ,1,ちょぼくれちょんがれ,,,,,,
0380-13-(10),1,0380-13-(10),,,,,,
地震のすちゃらか,1,地震のすちゃらか,,,,,,
0380-13-(11),1,0380-13-(11),,,,,,
すちゃらか,1,すちゃらか,,,,,,
すちゃらかあり,1,すちゃらかあり,,,,,,
４１,1,４１,,,,,,
0380-13-(12),1,0380-13-(12),,,,,,
新吉原の仮宅場所付あり,1,新吉原の仮宅場所付あり,,,,,,
５３,1,５３,,,,,,
0380-13-(13),1,0380-13-(13),,,,,,
0380-13-(14),1,0380-13-(14),,,,,,
１９,1,１９,,,,,,
大鯰江戸の賑ひ,1,大鯰江戸の賑ひ,,,,,,
0380-13-(15),1,0380-13-(15),,,,,,
２枚続但し右半分なし,1,２枚続但し右半分なし,,,,,,
鯰が鯨の形で江戸湾に入った図,1,鯰が鯨の形で江戸湾に入った図,,,,,,
大国のつちうこかして市中へ宝の山をつむそめてたき,1,大国のつちうこかして市中へ宝の山をつむそめてたき,,,,,,
0380-13-(16),1,0380-13-(16),,,,,,
文久３年３月,1,文久３年３月,,,,,,
-18630030550,1,-18630030550,,,,,,
おわりは,1,おわりは,,,,,,
こんどのひやうぎハわからない,1,こんどのひやうぎハわからない,,,,,,
0380-13-(17),1,0380-13-(17),,,,,,
くわじ伴左衛門となまづ山三の詞あり,1,くわじ伴左衛門となまづ山三の詞あり,,,,,,
は歌舞伎の趣向の一つ,1,は歌舞伎の趣向の一つ,,,,,,
吉原言葉,1,吉原言葉,,,,,,
0380-13-(18),1,0380-13-(18),,,,,,
９コマの絵にそれぞれ言葉がついたもの,1,９コマの絵にそれぞれ言葉がついたもの,,,,,,
家具,1,家具,https://ja.wikipedia.org/wiki/家具,Keyword,OK,,,
やく,1,雄蕊,https://ja.wikipedia.org/wiki/雄蕊,Keyword,OK,,,
はらひ,1,はらひ,,,,,,
0380-13-(19),1,0380-13-(19),,,,,,
風雷山人の戯述あり,1,風雷山人の戯述あり,,,,,,
持丸長者,1,持丸長者,,,,,,
0380-13-(21),1,0380-13-(21),,,,,,
地震後野宿の図,1,地震後野宿の図,,,,,,
0380-13-(22),1,0380-13-(22),,,,,,
慶応元年丑１２月１２日の夜浅草雷神門類焼,1,慶応元年丑１２月１２日の夜浅草雷神門類焼,,,,,,
0380-13-(23),1,0380-13-(23),,,,,,
慶応２年１月(18660010550),1,慶応２年１月(18660010550),,,,,,
彫藤,1,彫藤,,,,,,
寅正改,1,寅正改,,,,,,
雷おこし,1,雷おこし,https://ja.wikipedia.org/wiki/雷おこし,Keyword,OK,,,
雷神と弁天の対話あり,1,雷神と弁天の対話あり,,,,,,
目口耳鼻の自慢話を足叱るの図,1,目口耳鼻の自慢話を足叱るの図,,,,,,
0380-13-(24),1,0380-13-(24),,,,,,
一恵斎芳幾戯墨,1,一恵斎芳幾戯墨,,,,,,
物の本作者仮名垣魯文戯誌とあり,1,物の本作者仮名垣魯文戯誌とあり,,,,,,
目,1,目,https://ja.wikipedia.org/wiki/目,Keyword,OK,,,
口,1,口,https://ja.wikipedia.org/wiki/口,Keyword,OK,,,
耳,1,耳,https://ja.wikipedia.org/wiki/耳,Keyword,OK,,,
鼻,1,鼻,https://ja.wikipedia.org/wiki/鼻,Keyword,OK,,,
足の言葉あり,1,足の言葉あり,,,,,,
0380-13-(25),1,0380-13-(25),,,,,,
８３,1,８３,,,,,,
0380-13-(26),1,0380-13-(26),,,,,,
泡喰鳥,1,泡喰鳥,,,,,,
困窮鳥,1,困窮鳥,,,,,,
丸鳥,1,丸鳥,,,,,,
沢山鳥,1,沢山鳥,,,,,,
物鳥,1,物鳥,,,,,,
只鳥,1,只鳥,,,,,,
鳥の戯画,1,鳥の戯画,,,,,,
あはくい鳥,1,あはくい鳥,,,,,,
此鳥こんきうこんきうとなく,1,此鳥こんきうこんきうとなく,,,,,,
ひよふとり,1,ひよふとり,,,,,,
まる鳥,1,まる鳥,,,,,,
沢山とり,1,沢山とり,,,,,,
もの鳥,1,もの鳥,,,,,,
たたとり,1,たたとり,,,,,,
世の中にとんだはなしや放生会,1,世の中にとんだはなしや放生会,,,,,,
との川柳あり,1,との川柳あり,,,,,,
６５,1,６５,,,,,,
0380-13-(27),1,0380-13-(27),,,,,,
金もち,1,金もち,,,,,,
役者,1,俳優,https://ja.wikipedia.org/wiki/俳優,Keyword,OK,,,
非人,1,非人,https://ja.wikipedia.org/wiki/非人,Keyword,OK,,,
小間物屋,1,小間物屋,,,,,,
江戸子,1,江戸子,,,,,,
女郎,1,遊女,https://ja.wikipedia.org/wiki/遊女,Keyword,OK,,,
らくだ,1,ラクダ,https://ja.wikipedia.org/wiki/ラクダ,Keyword,OK,,,
駕籠屋などの戦いを夢見る商家隠居の図,1,駕籠屋などの戦いを夢見る商家隠居の図,,,,,,
0380-13-(28),1,0380-13-(28),,,,,,
８１,1,８１,,,,,,
0380-13-(29),1,0380-13-(29),,,,,,
会津その他への批評あり,1,会津その他への批評あり,,,,,,
0380-13-(30),1,0380-13-(30),,,,,,
0380-13-(31),1,0380-13-(31),,,,,,
朝比奈三郎義秀すもふの図,1,朝比奈三郎義秀すもふの図,,,,,,
0380-13-(32),1,0380-13-(32),,,,,,
朝比奈三郎,1,朝比奈義秀,https://ja.wikipedia.org/wiki/朝比奈義秀,Person,OK,,,
スポーツ,1,スポーツ,https://ja.wikipedia.org/wiki/スポーツ,Keyword,OK,,,
0380-13-(33),1,0380-13-(33),,,,,,
子四,1,子四,,,,,,
けんのけいこ,1,けんのけいこ,,,,,,
0380-13-(34),1,0380-13-(34),,,,,,
弘化４年(18470550550),1,弘化４年(18470550550),,,,,,
不明版元万字印,1,不明版元万字印,,,,,,
むかしばなし,1,むかしばなし,,,,,,
0380-13-(35),1,0380-13-(35),,,,,,
各動物の言葉あり,1,各動物の言葉あり,,,,,,
竜宮城の乙姫のために,1,竜宮城の乙姫のために,,,,,,
白猿のきもを取るべく,1,白猿のきもを取るべく,,,,,,
白猿をつれてくる図,1,白猿をつれてくる図,,,,,,
八代目団十郎,1,八代目団十郎,,,,,,
白猿,1,白猿,,,,,,
が安政元年８月大坂で自殺したことへの諷刺画,1,が安政元年８月大坂で自殺したことへの諷刺画,,,,,,
むかしはなしさるかにがっせん,1,むかしはなしさるかにがっせん,,,,,,
0380-13-(36),1,0380-13-(36),,,,,,
八代目団十郎の自殺への諷刺,1,八代目団十郎の自殺への諷刺,,,,,,
さされたる　はちのいたみもおのれから　慾にころんだ猿の泣面,1,さされたる　はちのいたみもおのれから　慾にころんだ猿の泣面,,,,,,
との歌あり,1,との歌あり,,,,,,
午の五月八日午の日土性水性うけに入る,1,午の五月八日午の日土性水性うけに入る,,,,,,
0380-13-(37),1,0380-13-(37),,,,,,
林屋庄五郎,1,林屋庄五郎,,,,,,
林庄板,1,林庄板,,,,,,
両国広小路,1,両国広小路,https://ja.wikipedia.org/wiki/両国広小路,Keyword,OK,,,
木性の人酉年八月五日酉の刻有卦に入,1,木性の人酉年八月五日酉の刻有卦に入,,,,,,
0380-13-(38),1,0380-13-(38),,,,,,
一鵬斎芳藤画,1,一鵬斎芳藤画,,,,,,
文久元年７月(18610070550),1,文久元年７月(18610070550),,,,,,
酉七改,1,酉七改,,,,,,
不老不死の薬はふじにありときけばふぶきふみわけ登るふる事,1,不老不死の薬はふじにありときけばふぶきふみわけ登るふる事,,,,,,
八月八日有卦に入木性の人,1,八月八日有卦に入木性の人,,,,,,
0380-13-(39),1,0380-13-(39),,,,,,
嘉永２年,1,嘉永２年,,,,,,
-18490550550,1,-18490550550,,,,,,
柳岡,1,柳岡,,,,,,
福助とおふくと二世の酒くみて夫婦福々ふえる子たから,1,福助とおふくと二世の酒くみて夫婦福々ふえる子たから,,,,,,
の歌あり　嘉永２年の暦に８月８日の件あり,1,の歌あり　嘉永２年の暦に８月８日の件あり,,,,,,
元治元甲子年十一月十五日子ノ刻火性ノ人有卦ニ入,1,元治元甲子年十一月十五日子ノ刻火性ノ人有卦ニ入,,,,,,
0380-13-(40),1,0380-13-(40),,,,,,
一光斎芳盛戯画印,1,一光斎芳盛戯画印,,,,,,
ふかし芋,1,ふかし芋,,,,,,
午年迄７ヶ年之間万吉,1,午年迄７ヶ年之間万吉,,,,,,
十一月十五日火性の人うけニ入,1,十一月十五日火性の人うけニ入,,,,,,
0380-13-(41),1,0380-13-(41),,,,,,
辻文板,1,辻文板,,,,,,
慶応三丁卯年二月七日卯之時金性之人有卦ニ入,1,慶応三丁卯年二月七日卯之時金性之人有卦ニ入,,,,,,
0380-13-(42),1,0380-13-(42),,,,,,
酉年迄７ヶ年之間万よし,1,酉年迄７ヶ年之間万よし,,,,,,
道行旅路花聟,1,道行旅路花聟,,,,,,
0380-14-(1),1,0380-14-(1),,,,,,
しにゆきさびしのはなむけ,1,しにゆきさびしのはなむけ,,,,,,
道行旅路花聟は清元,1,道行旅路花聟は清元,,,,,,
天保４年初演,1,天保４年初演,,,,,,
流行麻疹けん,1,流行麻疹けん,,,,,,
0380-14-(2),1,0380-14-(2),,,,,,
芳艶画,1,芳艶画,,,,,,
亀屋岩吉,1,亀屋岩吉,https://ja.wikipedia.org/wiki/亀屋岩吉,Keyword,OK,,,
春亭,1,春亭,,,,,,
春亭戯述,1,春亭戯述,,,,,,
食物あり,1,食物あり,,,,,,
麻疹退治,1,麻疹退治,,,,,,
0380-14-(3),1,0380-14-(3),,,,,,
切断,1,切断,https://ja.wikipedia.org/wiki/切断,Keyword,OK,,,
湊屋小兵衛,1,湊屋小兵衛,https://ja.wikipedia.org/wiki/湊屋小兵衛,Keyword,OK,,,
湊小版,1,湊小版,,,,,,
浅草,1,浅草,https://ja.wikipedia.org/wiki/浅草,Place,OK,,,
並木,1,並木,https://ja.wikipedia.org/wiki/並木,Keyword,OK,,,
よき物あり,1,よき物あり,,,,,,
当世雑語痳疹合戦記,1,当世雑語痳疹合戦記,,,,,,
0380-14-(4),1,0380-14-(4),,,,,,
金屯道人,1,金屯道人,,,,,,
金屯道人の詞書あり,1,金屯道人の詞書あり,,,,,,
痳疹合戦記,1,痳疹合戦記,,,,,,
はしか落しばなし,1,はしか落しばなし,,,,,,
0380-14-(5),1,0380-14-(5),,,,,,
おとしばなしあり,1,おとしばなしあり,,,,,,
大津ゑぶし,1,大津ゑぶし,,,,,,
0380-14-(6),1,0380-14-(6),,,,,,
